# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Nov 13 03:38:56 2024
# Radiative transfer took 21.076 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2
1.600000000e+00 9.81750e-01 9.99195e-01 9.82542e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600010000e+00 9.74795e-01 9.99319e-01 9.75460e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600020000e+00 9.83856e-01 9.99414e-01 9.84433e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600030000e+00 9.83104e-01 9.99482e-01 9.83614e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600040000e+00 9.78399e-01 9.99542e-01 9.78847e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600050000e+00 9.68306e-01 9.99596e-01 9.68698e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600060000e+00 9.46089e-01 9.99640e-01 9.46430e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600070000e+00 8.88340e-01 9.99674e-01 8.88630e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600080000e+00 6.88638e-01 9.99701e-01 6.88846e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600090000e+00 6.83195e-01 9.99721e-01 6.83385e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600100000e+00 8.76656e-01 9.99738e-01 8.76886e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600110000e+00 9.41259e-01 9.99752e-01 9.41493e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600120000e+00 9.66333e-01 9.99763e-01 9.66563e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00
1.600130000e+00 9.78021e-01 9.99772e-01 9.78246e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00
1.600140000e+00 9.84281e-01 9.99780e-01 9.84499e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600150000e+00 9.87886e-01 9.99786e-01 9.88098e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00
1.600160000e+00 9.90024e-01 9.99790e-01 9.90233e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600170000e+00 9.90927e-01 9.99791e-01 9.91134e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600180000e+00 9.91748e-01 9.99788e-01 9.91959e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600190000e+00 9.93047e-01 9.99776e-01 9.93270e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600200000e+00 9.93571e-01 9.99743e-01 9.93827e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600210000e+00 9.93808e-01 9.99684e-01 9.94123e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600220000e+00 9.93915e-01 9.99686e-01 9.94227e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600230000e+00 9.93889e-01 9.99724e-01 9.94164e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600240000e+00 9.93688e-01 9.99753e-01 9.93934e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600250000e+00 9.93284e-01 9.99777e-01 9.93505e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600260000e+00 9.92638e-01 9.99782e-01 9.92855e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600270000e+00 9.91807e-01 9.99773e-01 9.92033e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600280000e+00 9.90530e-01 9.99746e-01 9.90782e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600290000e+00 9.88543e-01 9.99684e-01 9.88856e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600300000e+00 9.85685e-01 9.99541e-01 9.86138e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600310000e+00 9.81234e-01 9.99346e-01 9.81877e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600320000e+00 9.73986e-01 9.99430e-01 9.74543e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600330000e+00 9.60438e-01 9.99614e-01 9.60809e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600340000e+00 9.31086e-01 9.99708e-01 9.31359e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600350000e+00 8.54786e-01 9.99748e-01 8.55002e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.600360000e+00 6.03503e-01 9.99770e-01 6.03643e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
